system:index,B11,B12,B2,B3,B4,B8,NDVI,OC,VH,VV,VV_div_VH,VV_minus_VH,aspect,elev,slope,.geo
00000000000000000744_0,4088.0,3489.0,1727.0,2056.0,2208.0,3944.0,0.28218466,13.1,-21.054363177151213,-12.859386834417128,0.6107706381911611,8.194976342734085,0,67,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.145626883173785,53.311014609479265]}"
00000000000000000758_0,3284.0,2639.5,1481.5,1679.0,1658.0,3445.0,0.35018617,20.1,-19.25674743986102,-12.590983955809197,0.653847904228424,6.665763484051823,121,29,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.674105764821299,52.635122189707744]}"
00000000000000000781_0,3418.0,2457.5,1488.5,1765.5,1668.0,3903.5,0.40123844,33.4,-19.115898952058043,-12.516167031083098,0.6547516840548894,6.5997319209749445,253,97,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.902012926684273,51.467581814937596]}"
00000000000000000794_0,3867.0,2901.0,1692.0,2124.0,2176.0,4805.0,0.37659362,21.4,-17.13079543896465,-10.552089837400235,0.6159719713539455,6.578705601564415,252,261,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.762930849293314,49.83579210133449]}"
000000000000000007f4_0,2897.5,2122.0,1488.5,1733.5,1662.0,4282.0,0.4407806,11.6,-19.851717188958848,-10.4771842586164,0.5277721901278956,9.374532930342447,29,42,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.52552441682793,53.64536755822856]}"
0000000000000000081c_0,3060.5,2457.0,1668.0,1949.5,2133.0,3975.0,0.3015717,13.1,-19.006537427734102,-12.284043685765692,0.6463062371287559,6.72249374196841,0,44,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.624500464010495,52.69306352553345]}"
00000000000000000826_0,3162.0,2654.5,1438.0,1664.0,1744.0,3757.5,0.3659911,9.4,-21.12789497242747,-13.870250804879639,0.6564899542988418,7.257644167547831,209,20,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.09584649358801,52.787476461894414]}"
0000000000000000085e_0,2381.5,1695.0,1495.0,2014.0,1541.0,6184.0,0.6010356,12,-15.62506778506517,-8.739678360483436,0.5593369885305098,6.885389424581733,180,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.308288909718573,52.92249324909758]}"
00000000000000000865_0,3164.0,2328.0,1447.0,1677.0,1462.0,4046.0,0.4691358,21,-19.965508070299848,-12.462966689092013,0.6242248704720711,7.502541381207834,121,13,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.603475312080247,52.96471406745119]}"
00000000000000000878_0,3471.0,2646.0,1542.0,1752.0,1828.0,4044.0,0.3773842,37.9,-18.42405560278975,-10.113907726101626,0.5489512159619291,8.310147876688124,180,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.952111473847034,53.15093482584917]}"
0000000000000000089a_0,3351.0,2361.5,1539.5,1783.0,1887.0,3774.5,0.3333922,17.3,-16.466650201985072,-7.432986960229614,0.4513964205867177,9.033663241755459,122,50,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.923630305058594,51.61813945655603]}"
000000000000000008a0_0,3109.5,2525.5,1768.5,1968.5,2201.0,4438.0,0.33694834,12.2,-18.3720410464381,-11.743973307027337,0.6392307352973291,6.628067739410762,0,47,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.321314481338306,51.735818758775686]}"
000000000000000008a7_0,3515.0,2754.0,1634.0,1939.0,2268.0,3735.0,0.2443778,12.2,-18.069832849788483,-9.813444566084724,0.5430844129916562,8.256388283703759,122,52,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.800206359302423,52.015464306722095]}"
000000000000000008ed_0,3385.0,2592.0,1584.0,2122.0,2112.0,4384.0,0.3497537,14.2,-17.720106004554776,-10.181615858166216,0.5745798504562633,7.538490146388559,153,170,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.042481991429458,49.0880344588334]}"
000000000000000008ef_0,3761.0,3226.0,2056.0,2526.0,3186.0,5020.0,0.223495,15,-20.831484519307658,-10.664692747375458,0.5119506839510592,10.1667917719322,123,301,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.045536263395464,49.69978716731879]}"
00000000000000000911_0,3010.0,2340.0,1359.5,1538.5,1502.5,3004.0,0.3331854,23.2,-19.242212958231626,-10.055818224075377,0.522591567087589,9.186394734156249,302,129,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.222428265684153,51.43632044305024]}"
00000000000000000913_0,3736.0,3164.5,1532.0,1790.0,1870.0,3787.0,0.3388722,21.1,-19.115427477928485,-11.274745748775478,0.5898244107694581,7.840681729153006,295,115,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.235543668832298,51.921590359531606]}"
0000000000000000091a_0,3294.0,2603.0,1730.0,2040.0,2226.0,3900.0,0.27326152,11.1,-20.560526217278344,-14.838518093380099,0.7216993347626642,5.722008123898245,321,79,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.393736990365745,52.33337808577199]}"
00000000000000000944_0,3818.0,3108.0,1472.0,1725.0,1840.0,3282.0,0.28153065,9.1,-19.84769150755531,-11.85186461322381,0.5971407107326425,7.9958268943315005,0,73,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.886916655629213,51.82079938465339]}"
